"pool";"year";"trait";"value"
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,12
"Filtered";2018;"HSI";0,14
"Filtered";2018;"HSI";0,14
